RouteNum;Authority;City;Transport;Operator;ValidityPeriods;SpecialDates;RouteTag;RouteType;Commercial;RouteName;Weekdays;RouteID;Entry;RouteStops;Pikas2012.11.19;Datestart
;;;;;;;0;A>D;A;ДС Шабаны - АП 6;67;167201;;14746,14752,14753,14824,14825,58378,14828,16041,14712;;
;;;;;17348,;;0.62;B2>D;A;Серебрянка-9 - АС Автозаводская - АП 6;12345;204179;;15795,15796,15799,15801,15804,15806,14510,15618,15619,15295,15296,15297,14712;;
;;;;;17320,;;0.38;D>A2;A;АП 6 - ДС Шабаны;67;167202;;15620,16040,16042,14826,14625,14713,14746;;
;;;;;;;0.6;D>B2;A;АП 6 - Серебрянка;67;167199;;15343,15344,15345,15346,15621,15622,14508,14509,15805,15803,15802,15800,15798,15797,15795;;
10;;;;2 АП;17318,;;;A>B;A;ДС Дружная - Воронянского;1234567;197395;;15914,15665,15838,15873,15878,15879,15880;;d1-d5 - 01.06.2017<br>d6-d7 - 03.06.2017
;;;;;;;;B>A;A;Воронянского - ДС Дружная;1234567;197396;;15880,15881,15874,15872,15839,15844,15914;;
11;;;;5 АП;;;;A>B;A;ДС Веснянка - ДС Сухарево-5;1234567;197631;;15846,204289,14554,71343,15852,15854,15856,54537,14699,15223,15224,15225,15256,15257,15248,14593,14594,14595,14857,14862,14863,14866,14869,14889,14890,14891,73662,71995,73663,133395;;d1-d5 - 01.06.2017<br>d6-d7 - 03.06.2017
;;;;;;;;B>A;A;ДС Сухарево-5 - ДС Веснянка;1234567;197628;;133395,73664,71996,15177,14893,15178,14878,14879,14880,14861,14856,14679,14680,14681,15249,15254,15255,15263,15277,15278,14841,54519,15855,15853,14551,204094,15846;;
12;;;;;17343,;;;A>B;A;ДС Кунцевщина - ДС Сухарево-5;12345;203369;;15858,15522,72615,72616,72617,14868,14889,14890,14891,73662,71995,73663,133395;;d1-d5 - 26.06.2017
;;;;;;;;B>A;A;ДС Сухарево-5 - ДС Кунцевщина;12345;203368;;133395,73664,71996,15177,14893,15178,14878,14608,72405,72406,72403,73580,15858;;
13;;;;7 АП;17318,;;;A>B;A;ДС Зелёный Луг-6 - Макаёнка;1234567;198725;;15788,15787,15784,15782,54541,14461,15181,14388,14454,14481,14482,15012,15013,14350,14347,14403,14423,14425,14427,14428;;d1-d5 - 01.06.2017<br>d6-d7 - 03.06.2017
;;;;;;;;B>A;A;Макаёнка - ДС Зелёный Луг-6;1234567;198726;;14428,14426,14424,14344,14348,14997,14998,14484,14483,14480,14389,15980,15981,14450,15781,15783,15785,15786,15788;;
14;;;;4 АП;17322,;;;A>B;A;ДС Восточная - Степянка;12345;202481;;15629,15612,15613,15614,15615,15942,15943,15813,15817,15819,16248,14771,14772,14774,14775,15363,15364,15365,15366,69253,15381,15382,15383,15384,15385;;d1-d5 - 05.06.2017
;;;;;;;;B>A;A;Степянка - ДС Восточная;12345;202482;;15385,15386,15387,15377,15370,15367,15368,15417,14738,14739,14740,14741,16247,15818,15815,15814,15940,15941,15626,15627,15628,73564,15629;;
;;;;;;;0.59;B1>D;A;Степянка - пер. Козлова - АП4;12345;202486;;15385,15386,15387,15377,15370,15367,15368,15417,14738,14739,14740,14741,16247,15819;;
;;;;;;;0.55;D>B1;A;АП4 - Поликлиника -  Степянка;12345;202485;;16248,14771,14772,14774,14775,15363,15364,15365,15366,69253,15381,15382,15383,15384,15385;;
15;;;;7 АП;17320,;;;A>B;A;ДС Славинского - Фогеля;1234567;198074;;15014,14485,14486,14487,14431,14676,14652,111246,14434,14437,271011,271013,271014;;d1-d5 - 05.06.2017<br>d6-d7 - 03.06.2017
;;;;;;;;B>A;A;Фогеля - ДС Славинского;1234567;198075;;271014,271012,14366,14627,14365,14436,14435,14656,14653,14675,14513,14514,14515,14996,14351,14997,15013,15014;;
15д;;;;;17322,;;;A>B;A;ДС Уручье-2 - Фогеля;12345;202648;;14386,14649,14652,271011,271013,271014;;d1-d5 - 05.06.2017
;;;;;;;;B>A;A;Фогеля - ДС Уручье-2;12345;202649;;271014,271012,14365,14653,14381,14386;;
16;;;;6 АП;17287,;;;A>B;A;ДС Ангарская-4 - ДС Чижовка;1234567;201140;;68909,15305,15306,15307,15308,15320,15321,15322,15971,15963,15972,15973,15965,15344,15345,15704,15705,15707,15530,15510,15511,15512,15513,15523,15524,15525,15535,68866;;d1-d5 - 01.06.2017<br>d6-d7 - 01.05.2017
;;;;;;;;B>A;A;ДС Чижовка - ДС Ангарская-4;1234567;201142;;68866,133126,15504,15505,15506,15507,15508,15509,15529,15709,15708,15706,15295,15296,15966,15967,15968,15969,15970,15323,15324,15325,15326,15327,15328,15329,68849,68909;;
17;;;;5 АП;17320,;;;A>B;A;ДС Сухарево-5 - ДС Кунцевщина;1234567;138510;;133395,73663,15142,15143,58348,15151,15152,15175,15176,14877,14878,14867,14600,14601,15522,15858;;d1-d5 - 26.06.2017<br>d6-d7 - 03.06.2017
;;;;;;;;B>A;A;ДС Кунцевщина - ДС Сухарево-5;1234567;138507;;15858,14606,14607,14868,14870,14892,15171,15173,15174,15156,15144,58347,73666,73665,133395;;
18;;;;4 АП;17318,;;;A>B;A;ДС Восточная - Новинки;1234567;202248;;15629,15630,15631,15632,15633,15634,68885,15741,15218,14961,14962,14963,14964,14965,14966,14967,14968,14969,15957;;d1-d5 - 01.06.2017<br>d6-d7 - 03.06.2017
;;;;;;;;B>A;A;Новинки - ДС Восточная;1234567;202249;;15957,15000,15001,15002,15003,15004,15005,15006,15007,15008,58359,15740,15738,15603,15604,15605,15606,15607,15629;;
19;;;;;17348,;;;A>B;A;ДС Карастояновой - Слепянка;1234567;204123;;15714,15713,58346,15721,14456,15731,15733,15734,15742,15823,15314,15316,15818,15473,15435,15436,15437,15438,15439,15440;;d1-d5 - 05.07.2017<br>d6-d7 - 01.07.2017
